age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
59;management;married;tertiary;no;1862;no;yes;cellular;25;jan;610;1;-1;0;unknown;no
45;unemployed;divorced;primary;no;-1239;no;no;unknown;21;may;747;2;-1;0;unknown;yes
41;technician;married;tertiary;no;3548;yes;no;cellular;22;apr;269;1;-1;0;unknown;no
64;management;married;tertiary;no;1473;yes;no;unknown;16;jun;184;2;-1;0;unknown;no
50;blue-collar;single;secondary;no;3274;no;no;cellular;13;jun;322;1;-1;0;unknown;no
35;services;single;tertiary;no;-987;yes;yes;cellular;11;may;29;1;-1;0;unknown;no
40;management;single;secondary;no;2800;yes;no;cellular;3;jul;22;2;-1;0;unknown;no
50;services;single;secondary;no;3233;yes;no;unknown;6;may;89;7;-1;0;unknown;no
32;admin.;single;tertiary;no;-388;yes;yes;cellular;23;nov;137;1;-1;0;unknown;no
50;management;single;tertiary;no;-187;yes;yes;cellular;13;jan;25;5;-1;0;unknown;no
55;management;married;secondary;no;-1897;no;no;cellular;4;dec;29;1;-1;0;unknown;no
47;entrepreneur;married;tertiary;no;-1434;yes;no;cellular;27;may;123;3;-1;0;unknown;no
34;housemaid;single;secondary;no;-287;yes;yes;unknown;24;feb;49;2;-1;0;unknown;no
37;admin.;married;secondary;no;1450;yes;no;cellular;23;jun;441;1;-1;0;unknown;yes
48;services;divorced;secondary;no;3067;no;no;telephone;22;may;16;2;311;5;success;yes
45;blue-collar;divorced;secondary;no;2523;yes;no;cellular;14;may;150;4;-1;0;unknown;no
67;technician;married;tertiary;no;4052;yes;yes;unknown;8;may;224;7;-1;0;unknown;no
32;technician;married;tertiary;no;-132;no;no;cellular;7;may;104;1;-1;0;unknown;yes
48;blue-collar;married;secondary;no;-2414;no;yes;unknown;2;aug;49;3;-1;0;unknown;no
38;management;single;tertiary;no;-1856;yes;no;cellular;18;may;421;1;-1;0;unknown;yes
19;entrepreneur;single;secondary;no;4713;yes;no;cellular;21;aug;26;5;-1;0;unknown;no
55;services;married;secondary;no;-4675;no;no;cellular;17;jul;1048;1;276;11;other;yes
38;admin.;married;secondary;no;4525;yes;no;unknown;22;may;278;2;304;18;failure;no
55;admin.;single;primary;no;-2361;no;no;cellular;4;may;20;1;-1;0;unknown;no
50;technician;married;secondary;no;2108;no;no;cellular;22;may;64;2;-1;0;unknown;no
50;admin.;single;primary;no;5502;no;yes;cellular;19;jul;180;1;-1;0;unknown;yes
37;self-employed;divorced;tertiary;no;1870;no;no;cellular;25;may;8;1;-1;0;unknown;no
35;blue-collar;married;tertiary;no;2075;yes;yes;unknown;6;jul;182;1;-1;0;unknown;no
64;technician;single;tertiary;no;-1151;yes;no;unknown;28;oct;184;4;67;20;unknown;no
45;unknown;single;tertiary;no;2368;no;no;unknown;31;sep;442;2;-1;0;unknown;yes
64;blue-collar;divorced;secondary;no;3293;yes;no;cellular;6;may;566;4;-1;0;unknown;no
41;management;married;tertiary;no;7548;no;no;unknown;22;apr;70;1;-1;0;unknown;no
46;unemployed;divorced;secondary;no;1058;no;no;unknown;4;may;115;1;596;10;other;no
48;blue-collar;married;secondary;no;9656;yes;no;cellular;21;jun;385;1;-1;0;unknown;no
54;blue-collar;single;primary;no;-1900;no;yes;cellular;8;jul;411;2;-1;0;unknown;no
19;management;married;secondary;no;2648;yes;no;cellular;30;may;412;1;-1;0;unknown;no
37;admin.;married;tertiary;no;418;yes;no;cellular;29;nov;295;1;-1;0;unknown;no
48;admin.;married;tertiary;no;875;no;no;cellular;24;may;173;1;-1;0;unknown;no
58;technician;married;tertiary;no;-2309;yes;no;unknown;29;feb;345;3;-1;0;unknown;no
52;admin.;single;secondary;no;4045;yes;no;cellular;15;jul;17;5;-1;0;unknown;no
37;blue-collar;married;tertiary;no;5305;no;no;cellular;28;jul;1093;1;-1;0;unknown;yes
46;housemaid;married;tertiary;no;2517;no;no;cellular;18;may;272;1;-1;0;unknown;yes
71;admin.;divorced;secondary;no;3623;yes;no;cellular;26;apr;74;1;-1;0;unknown;no
44;technician;single;secondary;no;-1230;no;yes;cellular;9;may;137;1;-1;0;unknown;no
39;admin.;single;primary;no;-1836;no;no;cellular;14;jul;176;1;-1;0;unknown;no
50;admin.;married;secondary;no;3854;no;yes;cellular;12;may;7;2;-1;0;unknown;no
40;technician;single;tertiary;no;2322;no;no;unknown;5;aug;141;2;-1;0;unknown;yes
45;technician;single;secondary;no;5544;no;no;cellular;10;nov;1329;6;-1;0;unknown;yes
47;services;married;primary;no;2886;yes;no;cellular;1;may;330;7;-1;0;unknown;no
35;blue-collar;married;primary;no;-4347;yes;no;cellular;28;jul;1099;2;668;21;failure;no
36;blue-collar;single;secondary;no;269;yes;no;cellular;9;jun;184;4;-1;0;unknown;no
63;entrepreneur;single;secondary;no;4859;yes;no;cellular;8;may;116;1;-1;0;unknown;no
30;blue-collar;single;tertiary;no;-693;yes;no;unknown;20;nov;34;1;-1;0;unknown;no
31;services;single;tertiary;no;1670;yes;no;cellular;4;jun;51;6;482;1;success;no
43;blue-collar;married;primary;no;-1336;yes;no;unknown;19;may;112;4;-1;0;unknown;no
32;retired;divorced;secondary;no;4587;no;no;unknown;21;may;87;1;864;2;failure;yes
48;management;married;tertiary;no;1142;yes;no;cellular;23;jul;394;3;-1;0;unknown;yes
45;unemployed;single;secondary;no;1950;yes;no;unknown;12;jun;370;3;-1;0;unknown;no
50;admin.;single;secondary;no;2036;yes;no;cellular;4;feb;91;5;-1;0;unknown;no
54;technician;married;secondary;no;2537;no;no;cellular;6;feb;47;2;-1;0;unknown;no
46;admin.;married;secondary;no;-1220;no;no;cellular;21;jun;58;2;-1;0;unknown;no
54;technician;divorced;tertiary;no;4671;no;no;cellular;28;jul;186;1;-1;0;unknown;yes
22;services;married;tertiary;no;2960;yes;no;unknown;17;aug;53;4;-1;0;unknown;no
41;admin.;married;secondary;no;2668;yes;no;cellular;9;feb;236;6;-1;0;unknown;no
22;technician;single;secondary;no;3319;no;no;cellular;26;jun;177;1;-1;0;unknown;no
45;student;single;primary;no;1752;yes;no;unknown;19;oct;158;4;-1;0;unknown;no
56;admin.;single;primary;no;3081;no;no;unknown;25;jan;396;4;700;19;unknown;yes
27;blue-collar;married;tertiary;no;106;no;no;cellular;30;oct;103;9;-1;0;unknown;no
20;blue-collar;married;secondary;no;5486;no;no;cellular;30;nov;56;1;-1;0;unknown;no
34;retired;married;secondary;no;-5756;yes;no;cellular;13;may;562;7;-1;0;unknown;no
50;unemployed;single;secondary;no;2726;yes;yes;telephone;21;jan;81;1;-1;0;unknown;no
44;retired;married;tertiary;no;365;no;no;unknown;18;may;348;4;-1;0;unknown;no
35;technician;married;secondary;no;7860;yes;no;cellular;6;sep;229;3;127;8;failure;no
44;admin.;single;unknown;no;1709;no;no;cellular;22;nov;903;1;-1;0;unknown;yes
25;blue-collar;married;tertiary;no;3804;yes;yes;telephone;10;may;657;3;-1;0;unknown;no
43;admin.;married;secondary;no;-3429;no;no;cellular;1;jul;258;1;-1;0;unknown;no
34;blue-collar;single;tertiary;no;-1291;yes;no;cellular;29;may;27;3;365;18;failure;no
50;blue-collar;divorced;tertiary;no;1573;no;no;unknown;4;may;7;1;-1;0;unknown;no
26;self-employed;married;secondary;no;4063;yes;yes;cellular;6;jul;285;1;-1;0;unknown;no
42;management;married;secondary;no;745;yes;no;cellular;9;jun;144;3;-1;0;unknown;no
38;management;married;secondary;no;5367;no;no;cellular;19;jun;104;6;-1;0;unknown;no
53;student;married;secondary;no;1896;no;no;unknown;6;apr;125;2;-1;0;unknown;no
33;technician;married;secondary;no;8477;no;no;unknown;30;oct;68;3;488;8;failure;no
19;management;single;secondary;no;181;yes;no;cellular;6;jun;376;3;-1;0;unknown;no
48;admin.;divorced;tertiary;no;5403;yes;no;cellular;1;may;33;1;-1;0;unknown;yes
27;admin.;divorced;secondary;no;2990;yes;no;cellular;4;jun;591;2;-1;0;unknown;no
40;blue-collar;married;secondary;no;2143;yes;no;unknown;6;jun;185;1;-1;0;unknown;yes
45;services;single;primary;no;-17;yes;no;unknown;6;jul;134;1;-1;0;unknown;no
19;blue-collar;married;secondary;no;2643;yes;no;cellular;13;jul;144;3;-1;0;unknown;no
